kor,eng,sentence1_kor,sentence1_eng,sentence2_kor,sentence2_eng,sentence3_kor,sentence3_eng
반도,peninsular,한반도는 아름다워요.,The Korean peninsula is beautiful.,반도에 살아요.,I live on a peninsula.,한반도는 동아시아에 위치한 중요한 지리적 특징입니다.,The Korean Peninsula is an important geographical feature located in East Asia.
산소,oxygen,산소가 필요해요.,We need oxygen.,산소는 생명에 필수적이에요.,Oxygen is essential for life.,식물은 광합성 과정에서 산소를 방출합니다.,Plants release oxygen during photosynthesis.
층,layer,케이크 한 층을 먹었어요.,I ate a layer of cake.,옷을 여러 겹 입었어요.,I wore many layers of clothes.,지구의 대기는 여러 층으로 구성되어 있습니다.,The Earth's atmosphere consists of several layers.
폭발,explosion,폭발이 일어났어요.,An explosion occurred.,큰 폭발이었어요.,It was a big explosion.,화산 폭발은 주변 지역에 엄청난 피해를 입혔습니다.,The volcanic explosion caused immense damage to the surrounding areas.
속도,pace,속도를 높였어요.,I increased my pace.,한 걸음 걸었어요.,I took a pace.,그는 자신의 연구 속도를 조절하는 데 능숙합니다.,He is good at controlling the pace of his research.
사건,incident,이상한 사건이 있었어요.,There was a strange incident.,작은 사고였어요.,It was a minor incident.,그 사건은 지역 사회에 큰 파장을 일으켰습니다.,The incident caused a significant stir in the local community.
사진술,photography,사진술을 배웠어요.,I learned photography.,사진술은 예술이에요.,Photography is an art.,그녀는 사진술에 대한 열정으로 아름다운 풍경 사진을 찍습니다.,She takes beautiful landscape photos with a passion for photography.
화장,make-up,화장을 했어요.,I put on make-up.,팀 구성이 좋아요.,The team's make-up is good.,그녀는 중요한 행사를 위해 화장을 했습니다.,She put on make-up for an important event.
경비원,guard,경비원이 지키고 있어요.,A guard is watching.,문을 지켜야 해요.,You need to guard the door.,그 경비원은 밤새도록 건물을 지켰습니다.,The guard watched over the building all night.
먼지,dust,먼지가 많아요.,There is a lot of dust.,먼지를 털었어요.,I dusted the furniture.,오래된 책상에는 두꺼운 먼지층이 쌓여 있었습니다.,A thick layer of dust had accumulated on the old desk.
희생,sacrifice,희생했어요.,I sacrificed.,큰 희생이었어요.,It was a great sacrifice.,그들은 미래 세대를 위해 많은 것을 희생했습니다.,They made many sacrifices for future generations.
구입,purchase,책을 구입했어요.,I purchased a book.,새로운 구입이었어요.,It was a new purchase.,그녀는 온라인으로 새로운 옷을 구매했습니다.,She made a new clothing purchase online.
구조물,construct,건물을 건축했어요.,I constructed a building.,복잡한 구조물이에요.,It's a complex construct.,그들은 새로운 다리를 건설하기 시작했습니다.,They began to construct a new bridge.
지휘자,conductor,오케스트라 지휘자예요.,He is an orchestra conductor.,이 금속은 좋은 전도체예요.,This metal is a good conductor.,그 지휘자는 오케스트라를 이끌고 훌륭한 연주를 선보였습니다.,The conductor led the orchestra and delivered a magnificent performance.
야생동물,wildlife,야생동물을 보호해야 해요.,We should protect wildlife.,야생동물 사진을 찍었어요.,I took wildlife photos.,야생동물 보호는 생물 다양성 보존에 필수적입니다.,Wildlife conservation is essential for preserving biodiversity.
정상,summit,산 정상에 올랐어요.,I reached the summit of the mountain.,정상 회담이 열렸어요.,A summit meeting was held.,그들은 세계 평화를 논의하기 위해 정상 회담에서 만났습니다.,They met at the summit to discuss global peace.
지평선,horizon,지평선이 보여요.,I can see the horizon.,수평선 너머로 해가 지고 있어요.,The sun is setting beyond the horizon.,그녀는 항상 새로운 기회를 찾아 지평선을 바라봅니다.,She always looks to the horizon for new opportunities.
실마리,clue,실마리를 찾았어요.,I found a clue.,단서가 없어요.,There is no clue.,경찰은 사건을 해결하기 위한 중요한 단서를 발견했습니다.,The police found a crucial clue to solve the case.
과제,assignment,과제를 제출했어요.,I submitted my assignment.,새로운 과제를 받았어요.,I received a new assignment.,학생들은 다음 주까지 에세이 과제를 완료해야 합니다.,Students must complete their essay assignment by next week.
믿음,faith,믿음이 강해요.,My faith is strong.,그는 믿음을 잃지 않았어요.,He didn't lose faith.,그녀는 자신의 꿈에 대한 확고한 믿음을 가지고 있습니다.,She has unwavering faith in her dreams.
굶주림,hunger,굶주림을 느꼈어요.,I felt hunger.,배고픔이 심해요.,The hunger is severe.,전 세계적으로 수백만 명의 사람들이 굶주림으로 고통받고 있습니다.,Millions of people worldwide suffer from hunger.
유행,trend,이것은 새로운 유행이에요.,This is a new trend.,유행을 따랐어요.,I followed the trend.,최근 소비자들 사이에서 건강한 식습관이 유행하고 있습니다.,A healthy eating trend is popular among consumers recently.
잘못,fault,제 잘못이에요.,It's my fault.,결함이 있어요.,It has a fault.,그는 자신의 실수를 인정하고 잘못을 바로잡으려 노력했습니다.,He admitted his mistake and tried to correct his fault.
폭탄,bomb,폭탄이 터졌어요.,The bomb exploded.,폭탄 위협이 있었어요.,There was a bomb threat.,그들은 전쟁에서 폭탄을 사용했습니다.,They used bombs in the war.
연구소,institute,연구소에서 일해요.,I work at an institute.,새로운 프로그램을 시작했어요.,I instituted a new program.,그 연구소는 첨단 과학 연구를 전문으로 합니다.,The institute specializes in advanced scientific research.
전시,display,작품을 전시했어요.,I displayed my artwork.,전시회가 열렸어요.,An exhibition was on display.,그 박물관은 고대 유물을 전시하고 있습니다.,The museum has ancient artifacts on display.
힐끗보다,glance,힐끗 봤어요.,I glanced at him.,빠른 시선이었어요.,It was a quick glance.,그녀는 시계를 힐끗 보고 회의에 늦었다는 것을 깨달았습니다.,She glanced at her watch and realized she was late for the meeting.
예약하다,reserve,테이블을 예약했어요.,I reserved a table.,비축 식량이 있어요.,I have food reserves.,그들은 멸종 위기에 처한 동물을 보호하기 위해 자연 보호 구역을 만들었습니다.,They created a nature reserve to protect endangered animals.
학자,scholar,그는 유명한 학자예요.,He is a famous scholar.,학자가 되고 싶어요.,I want to be a scholar.,그녀는 고대 역사 분야의 저명한 학자입니다.,She is a distinguished scholar in the field of ancient history.
야자,palm,야자나무가 많아요.,There are many palm trees.,손바닥을 폈어요.,I opened my palm.,그녀는 손바닥에 작은 동전을 쥐고 있었습니다.,She held a small coin in the palm of her hand.
뿔,horn,사슴 뿔이 멋있어요.,Deer horns are cool.,경적을 울렸어요.,I honked the horn.,코뿔소는 코에 큰 뿔을 가지고 있습니다.,Rhinoceroses have a large horn on their nose.
화살,arrow,화살을 랐어요.,I shot an arrow.,화살표를 따라갔어요.,I followed the arrow.,그는 활과 화살로 과녁을 정확히 맞췄습니다.,He hit the target precisely with a bow and arrow.
장치,device,새로운 장치를 만들었어요.,I made a new device.,첨단 장치예요.,It's a high-tech device.,이 장치는 스마트폰과 무선으로 연결됩니다.,This device connects wirelessly to smartphones.
혼합물,mixture,혼합물을 만들었어요.,I made a mixture.,이상한 혼합물이에요.,It's a strange mixture.,그 용액은 여러 화학 물질의 혼합물입니다.,The solution is a mixture of several chemicals.
고속도로,highway,고속도로를 달렸어요.,I drove on the highway.,고속도로가 막혔어요.,The highway was blocked.,새로운 고속도로는 도시 간 이동 시간을 크게 단축시킬 것입니다.,The new highway will significantly reduce travel time between cities.
서식지,habitat,동물의 서식지를 보호해야 해요.,We should protect animal habitats.,그는 새로운 거주지를 찾았어요.,He found a new habitat.,이 습지는 다양한 야생동물의 중요한 서식지입니다.,This wetland is an important habitat for various wildlife.
농업,agriculture,농업은 중요해요.,Agriculture is important.,농학을 공부해요.,I study agriculture.,현대 농업은 기술 발전에 크게 의존합니다.,Modern agriculture heavily relies on technological advancements.
문명,civilization,고대 문명을 연구했어요.,I studied ancient civilizations.,문명이 발전했어요.,Civilization developed.,고대 이집트 문명은 놀라운 건축물과 예술을 남겼습니다.,Ancient Egyptian civilization left behind astonishing architecture and art.
중력,gravity,중력이 있어요.,There is gravity.,지구의 중력은 우리를 땅에 붙잡아요.,Earth's gravity holds us to the ground.,뉴턴은 사과가 떨어지는 것을 보고 중력의 법칙을 발견했습니다.,Newton discovered the law of gravity by observing a falling apple.
문맥,context,문맥을 이해해야 해요.,You need to understand the context.,이 단어의 맥락은 무엇인가요?,What is the context of this word?,그녀는 발언의 문맥을 설명하여 오해를 풀었습니다.,She explained the context of her remarks to clear up the misunderstanding.
항의,protest,항의했어요.,I protested.,항의 시위가 있었어요.,There was a protest demonstration.,시민들은 정부의 새로운 정책에 항의하기 위해 모였습니다.,Citizens gathered to protest the government's new policy.
싱크대,sink,싱크대에서 설거지했어요.,I washed dishes in the sink.,배가 가라앉았어요.,The ship sank.,그녀는 슬픔에 잠겨 눈물을 흘렸습니다.,She sank into sadness and shed tears.
제비,swallow,제비가 날아갔어요.,A swallow flew away.,약을 삼켰어요.,I swallowed the medicine.,그는 긴장해서 침을 삼키기 어려웠습니다.,He was so nervous that he found it hard to swallow.
기둥,pole,기둥이 쓰러졌어요.,The pole fell down.,북극에 갔어요.,I went to the North Pole.,그들은 국기를 게양하기 위해 높은 깃대를 세웠습니다.,They erected a tall pole to hoist the flag.
뗏목,raft,뗏목을 만들었어요.,I made a raft.,뗏목을 타고 강을 건넜어요.,I crossed the river on a raft.,그들은 폭풍우 속에서 살아남기 위해 임시 뗏목을 만들었습니다.,They built a makeshift raft to survive the storm.
운임,fare,버스 운임을 냈어요.,I paid the bus fare.,기차 운임이 비싸요.,The train fare is expensive.,항공권 운임은 계절에 따라 크게 달라집니다.,Airfare varies significantly depending on the season.
양,quantity,많은 양의 물이 있어요.,There is a large quantity of water.,수량을 조절해야 해요.,You need to control the quantity.,그들은 필요한 재료의 정확한 양을 계산했습니다.,They calculated the exact quantity of ingredients needed.
권위,authority,그는 권위가 있어요.,He has authority.,정부 당국이 개입했어요.,The government authorities intervened.,그녀는 이 분야에서 인정받는 권위자입니다.,She is a recognized authority in this field.
판단,judgement,판단이 중요해요.,Judgment is important.,심판을 받았어요.,I received a judgment.,그녀는 어려운 상황에서도 현명한 판단을 내렸습니다.,She made a wise judgment even in difficult situations.
성명서,statement,성명서를 발표했어요.,They issued a statement.,진술서를 작성했어요.,I wrote a statement.,경찰은 사건에 대한 공식 성명을 발표했습니다.,The police released an official statement regarding the incident.
긴장,tension,긴장감이 높아요.,The tension is high.,그는 긴장했어요.,He felt tension.,두 국가 간의 정치적 긴장이 고조되고 있습니다.,Political tension between the two countries is escalating.
봉하다,seal,편지를 봉했어요.,I sealed the letter.,바다표범을 봤어요.,I saw a seal.,그들은 중요한 문서를 봉인했습니다.,They sealed the important document.
총계,sum,총계를 계산했어요.,I calculated the sum.,요약해 주세요.,Sum it up for me.,이 모든 숫자의 합은 얼마입니까?,What is the sum of all these numbers?
공황,panic,공황 상태에 빠졌어요.,I fell into a panic.,공포를 느꼈어요.,I felt panic.,그녀는 갑작스러운 비명에 공황 상태에 빠졌습니다.,She fell into a panic at the sudden scream.
흔적,trail,흔적을 따라갔어요.,I followed the trail.,옷이 질질 끌렸어요.,My clothes trailed.,그들은 숲 속의 오래된 오솔길을 따라갔습니다.,They followed an old trail through the forest.
전시회,exhibit,전시회에 갔어요.,I went to an exhibit.,작품을 전시했어요.,I exhibited my artwork.,그 박물관은 고대 이집트 유물을 전시하고 있습니다.,The museum has ancient Egyptian artifacts on exhibit.
인정,grant,그는 제 주장을 인정했어요.,He granted my claim.,허가를 승인했어요.,They granted permission.,정부는 연구 프로젝트에 대한 자금을 승인했습니다.,The government granted funding for the research project.
보장,guarantee,성공을 보장해요.,I guarantee success.,품질을 보장해요.,I guarantee the quality.,이 제품은 1년 품질 보증을 제공합니다.,This product comes with a one-year quality guarantee.
소유물,belonging,소유물을 챙겼어요.,I packed my belongings.,그는 이 그룹에 소속되어 있어요.,He belongs to this group.,그녀는 모든 개인 소유물을 안전하게 보관했습니다.,She kept all her personal belongings safe.
증거,evidence,증거를 찾았어요.,I found evidence.,증거가 명확해요.,The evidence is clear.,경찰은 범죄 현장에서 중요한 증거를 발견했습니다.,The police found crucial evidence at the crime scene.
화석,fossil,공룡 화석을 봤어요.,I saw a dinosaur fossil.,화석은 오래된 거예요.,Fossils are old.,고고학자들은 고대 해양 생물의 화석을 발견했습니다.,Archaeologists discovered fossils of ancient marine life.
생물학,biology,생물학을 공부해요.,I study biology.,생물학은 흥미로워요.,Biology is interesting.,그녀는 생물학 분야에서 뛰어난 연구를 수행했습니다.,She conducted outstanding research in the field of biology.
학기,semester,새 학기가 시작됐어요.,A new semester started.,이번 학기는 어려워요.,This semester is difficult.,그녀는 다음 학기에 교환 학생 프로그램에 참여할 예정입니다.,She plans to participate in an exchange student program next semester.
걱정,anxiety,걱정이 많아요.,I have a lot of anxiety.,열망이 강해요.,My desire is strong.,시험에 대한 그녀의 불안감은 잠을 방해했습니다.,Her anxiety about the exam disrupted her sleep.
수치,shame,수치심을 느꼈어요.,I felt shame.,유감스러운 일이에요.,It's a shame.,그녀는 자신의 행동에 대해 깊은 수치심을 느꼈습니다.,She felt deep shame for her actions.
기근,famine,기근이 발생했어요.,A famine occurred.,심각한 기근이었어요.,It was a severe famine.,그 나라는 심각한 기근으로 고통받고 있습니다.,The country is suffering from a severe famine.
막대,bar,막대기를 잡았어요.,I held a bar.,술집에 갔어요.,I went to a bar.,그는 금속 막대를 구부렸습니다.,He bent the metal bar.
쉬움,ease,쉬웠어요.,It was easy.,편안함을 느꼈어요.,I felt at ease.,통증을 완화했어요.,I eased the pain.,그녀는 어려운 상황에서도 침착함을 유지했습니다.,She maintained her ease even in difficult situations.
자살,suicide,자살을 시도했어요.,He attempted suicide.,자살은 비극이에요.,Suicide is a tragedy.,정부는 자살률을 줄이기 위한 프로그램을 시행하고 있습니다.,The government is implementing programs to reduce the suicide rate.
쏘다,shoot,총을 쐈어요.,I shot a gun.,사진을 촬영했어요.,I shot a photo.,그는 농구공을 골대에 정확히 쏘아 넣었습니다.,He shot the basketball precisely into the hoop.
운송,transport,물건을 운송했어요.,I transported goods.,대중교통을 이용했어요.,I used public transport.,항공 운송은 빠르지만 비쌉니다.,Air transport is fast but expensive.
어림잡다,estimate,비용을 어림잡았어요.,I estimated the cost.,견적을 받았어요.,I got an estimate.,그들은 프로젝트 완료에 필요한 시간을 어림잡았습니다.,They estimated the time required to complete the project.
눕히다,lay,아기를 눕혔어요.,I laid the baby down.,알을 낳았어요.,The hen laid an egg.,그녀는 테이블에 책을 놓았습니다.,She laid the book on the table.
지구,globe,지구를 돌았어요.,I traveled around the globe.,지구본을 봤어요.,I saw a globe.,세계화는 전 세계에 걸쳐 영향을 미칩니다.,Globalization affects the globe.
그림자,shadow,그림자가 길었어요.,The shadow was long.,그는 그림자처럼 따라다녔어요.,He followed like a shadow.,그녀는 어두운 골목길에서 그림자 속으로 사라졌습니다.,She disappeared into the shadows of the dark alley.
다수,majority,대부분의 사람들이 동의했어요.,The majority of people agreed.,과반수를 얻었어요.,I got the majority.,대다수의 유권자들은 새로운 정책을 지지했습니다.,The majority of voters supported the new policy.
협회,association,협회에 가입했어요.,I joined an association.,관련성이 있어요.,There is an association.,그들은 지역 사회 발전을 위한 협회를 설립했습니다.,They established an association for community development.
잡지,journal,잡지를 읽었어요.,I read a journal.,일기를 썼어요.,I wrote in my journal.,그녀는 과학 저널에 자신의 연구 결과를 발표했습니다.,She published her research findings in a scientific journal.
허드렛일,chore,집안 허드렛일을 했어요.,I did household chores.,하기 싫은 일이에요.,It's a chore I don't want to do.,매일 아침 설거지는 그녀의 일상적인 허드렛일입니다.,Washing dishes every morning is her daily chore.
절차,procedure,절차를 따랐어요.,I followed the procedure.,안전 절차가 중요해요.,Safety procedures are important.,그들은 새로운 운영 절차를 개발했습니다.,They developed new operating procedures.
부족,shortage,식량 부족이 심각해요.,There is a severe shortage of food.,물 부족을 겪고 있어요.,We are experiencing a water shortage.,갑작스러운 전력 부족은 도시 전체를 혼란에 빠뜨렸습니다.,A sudden shortage of electricity plunged the entire city into chaos.
의도,intention,의도가 좋았어요.,His intention was good.,그는 고의로 그랬어요.,He did it with intention.,그녀는 자신의 의도를 명확히 밝히지 않았습니다.,She did not clearly state her intentions.
폭력,violence,폭력을 사용하지 마세요.,Don't use violence.,가정 폭력이 심각해요.,Domestic violence is serious.,정부는 폭력을 종식시키기 위한 조치를 취해야 합니다.,The government must take action to end violence.
끈,string,끈으로 묶었어요.,I tied it with a string.,구슬을 꿰었어요.,I strung beads.,그는 기타 줄을 조율했습니다.,He tuned the guitar strings.
국경선,border,국경선을 넘었어요.,I crossed the border.,두 나라가 인접해 있어요.,The two countries border each other.,그들은 국경을 넘어 불법적으로 이동했습니다.,They illegally crossed the border.
쓰레기장,dump,쓰레기장에 버렸어요.,I dumped it in the garbage dump.,쓰레기를 버렸어요.,I dumped the trash.,그들은 오래된 가구를 쓰레기장에 버렸습니다.,They dumped their old furniture at the landfill.
만남,encounter,우연한 만남이었어요.,It was a chance encounter.,그는 위험에 조우했어요.,He encountered danger.,그녀는 숲에서 예상치 못한 야생동물과의 만남을 가졌습니다.,She had an unexpected encounter with wildlife in the forest.
소홀히하다,neglect,숙제를 소홀히 했어요.,I neglected my homework.,그는 소홀했어요.,He showed neglect.,그녀는 자신의 건강을 소홀히 하여 병에 걸렸습니다.,She neglected her health and fell ill.
대사,ambassador,대사를 만났어요.,I met the ambassador.,그는 평화 대사예요.,He is an ambassador for peace.,유엔 대사는 국제 평화 유지를 위해 노력합니다.,The UN ambassador works to maintain international peace.
먼지,dirt,손에 먼지가 묻었어요.,My hands got dirt on them.,흙이 많아요.,There is a lot of dirt.,그녀는 정원에서 일한 후 손의 흙을 씻어냈습니다.,She washed the dirt off her hands after working in the garden.
재산,property,재산이 많아요.,He has a lot of property.,이것은 이 물질의 특성이에요.,This is a property of this substance.,그는 자신의 모든 재산을 자선 단체에 기부했습니다.,He donated all his property to charity.
수입,income,수입이 증가했어요.,My income increased.,월 수입이 얼마예요?,What is your monthly income?,그녀는 추가 수입을 얻기 위해 파트타임으로 일합니다.,She works part-time to earn extra income.
범주,category,이것은 어떤 범주에 속하나요?,What category does this belong to?,새로운 범주를 만들었어요.,I created a new category.,그들은 제품을 여러 범주로 분류했습니다.,They categorized their products into several categories.
상황,circumstance,어려운 상황이었어요.,It was a difficult circumstance.,상황이 바뀌었어요.,The circumstances changed.,그녀는 어려운 상황에서도 침착함을 유지했습니다.,She maintained her composure even in difficult circumstances.
평등,equality,평등을 추구해요.,I seek equality.,성 평등이 중요해요.,Gender equality is important.,모든 시민은 법 앞에서 평등한 권리를 가져야 합니다.,All citizens should have equal rights before the law.
선거,election,선거에 참여했어요.,I participated in the election.,대통령 선거가 있어요.,There is a presidential election.,그는 다음 선거에서 대통령 후보로 출마할 예정입니다.,He plans to run as a presidential candidate in the next election.
멸종,extinction,공룡은 멸종했어요.,Dinosaurs went extinct.,멸종 위기에 처한 동물들이 있어요.,There are endangered animals facing extinction.,기후 변화는 많은 종의 멸종을 가속화하고 있습니다.,Climate change is accelerating the extinction of many species.
발언,remark,이상한 발언을 했어요.,He made a strange remark.,아무 말도 하지 않았어요.,He didn't remark on anything.,그녀의 발언은 회의실에 침묵을 가져왔습니다.,Her remark brought silence to the meeting room.
은행에맡기다,deposit,돈을 은행에 맡겼어요.,I deposited money in the bank.,예치금을 냈어요.,I paid a deposit.,그녀는 은행 계좌에 매달 일정 금액을 예금합니다.,She deposits a fixed amount into her bank account every month.
순환,cycle,물은 순환해요.,Water cycles.,생명의 순환이에요.,It's the cycle of life.,자연은 끊임없는 생명의 순환을 보여줍니다.,Nature demonstrates a continuous cycle of life.
뒤쫓다,chase,그는 도둑을 뒤쫓았어요.,He chased the thief.,추격전이 있었어요.,There was a chase.,경찰은 용의자를 숲 속으로 추격했습니다.,The police chased the suspect into the forest.
망치다,ruin,계획을 망쳤어요.,I ruined the plan.,도시는 폐허가 되었어요.,The city was in ruin.,그녀는 자신의 행동이 친구와의 관계를 망칠까 봐 두려워했습니다.,She feared her actions would ruin her friendship.
용서하다,forgive,그를 용서했어요.,I forgave him.,용서해 주세요.,Please forgive me.,그녀는 진심으로 사과했고, 그는 그녀를 용서했습니다.,She sincerely apologized, and he forgave her.
성직자,priest,성직자를 만났어요.,I met a priest.,그는 신부님이에요.,He is a priest.,그 성직자는 지역 사회에서 존경받는 인물입니다.,The priest is a respected figure in the community.
장기,organ,심장은 장기예요.,The heart is an organ.,오르간을 연주해요.,I play the organ.,인체는 복잡한 장기 시스템으로 이루어져 있습니다.,The human body is composed of a complex system of organs.
망원경,telescope,망원경으로 별을 봤어요.,I saw stars with a telescope.,새로운 망원경을 샀어요.,I bought a new telescope.,허블 우주 망원경은 우주의 놀라운 이미지를 제공합니다.,The Hubble Space Telescope provides amazing images of the universe.
칼,sword,칼을 들었어요.,I held a sword.,칼싸움을 했어요.,I had a sword fight.,고대 전사들은 전투에서 검을 사용했습니다.,Ancient warriors used swords in battle.
복지,welfare,복지 정책이 중요해요.,Welfare policy is important.,국민의 복지를 위해 노력해요.,We work for the welfare of the people.,정부는 시민의 복지를 향상시키기 위한 프로그램을 시행합니다.,The government implements programs to improve the welfare of its citizens.
관광사업,tourism,관광 사업이 발전하고 있어요.,Tourism is developing.,관광 산업은 중요해요.,The tourism industry is important.,이 도시는 관광 사업으로 유명합니다.,This city is famous for its tourism.
어조,tone,어조가 달라요.,The tone is different.,음조가 높아요.,The tone is high.,그녀는 자신의 목소리 톤을 조절하여 메시지를 명확하게 전달했습니다.,She adjusted the tone of her voice to convey her message clearly.
주제,theme,이 책의 주제는 무엇인가요?,What is the theme of this book?,주제곡이 좋아요.,The theme song is good.,그 영화의 주제는 사랑과 상실입니다.,The theme of the movie is love and loss.
준비,preparation,준비가 필요해요.,Preparation is needed.,시험 준비를 했어요.,I prepared for the exam.,그녀는 중요한 발표를 위해 철저한 준비를 했습니다.,She made thorough preparations for the important presentation.
폐물,junk,폐물을 버렸어요.,I threw away junk.,오래된 물건을 내버렸어요.,I junked old items.,그는 차고에 쌓인 모든 폐품을 버리기로 결정했습니다.,He decided to get rid of all the junk accumulated in his garage.
호각,whistle,호각을 불었어요.,I blew a whistle.,휘파람을 불었어요.,I whistled.,심판은 경기 시작을 알리기 위해 호각을 불었습니다.,The referee blew the whistle to signal the start of the game.
궤도,orbit,지구가 태양 주위를 돌아요.,The Earth orbits the sun.,위성이 궤도를 돌아요.,The satellite orbits.,국제 우주 정거장은 지구 주위를 궤도 비행합니다.,The International Space Station orbits around the Earth.
응시,stare,그는 저를 응시했어요.,He stared at me.,왜 그렇게 응시해요?,Why are you staring like that?,그녀는 미지의 물체를 응시하며 설명할 수 없는 감정을 느꼈습니다.,She stared at the unknown object, feeling an inexplicable emotion.
금지하다,forbid,그것은 금지되어 있어요.,It is forbidden.,그는 저에게 가지 말라고 금지했어요.,He forbade me to go.,법은 공공장소에서의 흡연을 금지합니다.,The law forbids smoking in public places.
허락하다,permit,들어가는 것을 허락했어요.,I permitted entry.,허가증이 필요해요.,You need a permit.,부모님은 제가 파티에 가는 것을 허락했습니다.,My parents permitted me to go to the party.
승무원,crew,승무원들이 친절해요.,The crew members are kind.,비행기 승무원이에요.,I am an airplane crew member.,우주선 승무원들은 우주에서 몇 달을 보냈습니다.,The spacecraft crew spent several months in space.
비용,expense,비용이 많이 들어요.,It costs a lot of expense.,여행 경비가 비싸요.,Travel expenses are high.,그들은 마케팅 캠페인에 많은 비용을 지출했습니다.,They incurred significant expense for the marketing campaign.
시대,era,새로운 시대가 시작됐어요.,A new era began.,고대 시대였어요.,It was an ancient era.,산업 혁명은 새로운 시대를 열었습니다.,The Industrial Revolution ushered in a new era.
배기,emission,배기 가스가 많아요.,There are many emissions.,방사선이 방출되었어요.,Radiation was emitted.,자동차 배기가스는 대기 오염의 주요 원인입니다.,Car emissions are a major cause of air pollution.
질환,disorder,수면 질환을 앓고 있어요.,I have a sleep disorder.,정신 질환을 앓고 있어요.,He has a mental disorder.,그녀는 희귀한 신경 질환으로 고통받고 있습니다.,She suffers from a rare neurological disorder.
회의,conference,회의에 참석했어요.,I attended a conference.,국제 회의였어요.,It was an international conference.,그들은 다음 달에 중요한 과학 컨퍼런스를 개최할 예정입니다.,They are scheduled to hold an important scientific conference next month.
점토,clay,점토로 만들었어요.,I made it with clay.,점토는 부드러워요.,Clay is soft.,도예가는 점토로 아름다운 도자기를 만들었습니다.,The potter created beautiful pottery from clay.
채널,channel,TV 채널을 바꿨어요.,I changed the TV channel.,정보 경로를 찾았어요.,I found a channel for information.,그녀는 자신의 감정을 예술을 통해 표현하는 채널을 찾았습니다.,She found a channel to express her emotions through art.
통계학,statistics,통계학을 공부해요.,I study statistics.,통계 자료가 중요해요.,Statistical data is important.,최신 통계는 경제 성장을 보여줍니다.,The latest statistics show economic growth.
명령,command,명령을 내렸어요.,I gave a command.,군대 지휘관이에요.,He is a military commander.,그는 모든 병사들에게 즉시 후퇴하라고 명령했습니다.,He commanded all soldiers to retreat immediately.
제기하다,pose,질문을 제기했어요.,I posed a question.,사진 포즈를 취했어요.,I struck a pose for the photo.,그녀의 질문은 중요한 윤리적 딜레마를 제기했습니다.,Her question posed a significant ethical dilemma.
체포,arrest,그를 체포했어요.,I arrested him.,체포 영장이 발부되었어요.,An arrest warrant was issued.,경찰은 용의자를 체포하기 위해 신속하게 행동했습니다.,The police acted swiftly to arrest the suspect.
뛰다,leap,높이 뛰었어요.,I leaped high.,큰 도약이었어요.,It was a great leap.,그녀는 기쁨에 겨워 공중으로 뛰어올랐습니다.,She leaped into the air with joy.
손바닥으로때리다,slap,뺨을 때렸어요.,I slapped his face.,가벼운 타격이었어요.,It was a light slap.,그녀는 장난스럽게 그의 팔을 때렸습니다.,She playfully slapped his arm.
처벌하다,punish,그를 처벌했어요.,I punished him.,죄를 처벌해야 해요.,We must punish crimes.,법은 범죄를 저지른 사람들을 처벌하기 위해 존재합니다.,The law exists to punish those who commit crimes.
관목,bush,관목이 많아요.,There are many bushes.,숲 속에 숨었어요.,I hid in the bush.,그녀는 덤불 뒤에 숨어 지나가는 사람들을 지켜보았습니다.,She hid behind a bush and watched people pass by.
재,ash,재가 날렸어요.,Ash flew.,담배 재를 털었어요.,I flicked cigarette ash.,화산 폭발 후 마을은 재로 뒤덮였습니다.,After the volcanic eruption, the village was covered in ash.
대행사,agency,광고 대행사에서 일해요.,I work at an advertising agency.,정부 기관이에요.,It's a government agency.,그들은 새로운 마케팅 캠페인을 위해 광고 대행사와 계약했습니다.,They contracted with an advertising agency for a new marketing campaign.
문서,document,문서를 작성했어요.,I wrote a document.,중요한 문서예요.,It's an important document.,그녀는 모든 중요한 서류를 안전하게 보관했습니다.,She kept all important documents safe.
세금,tax,세금을 냈어요.,I paid tax.,세금이 비싸요.,Taxes are high.,정부는 새로운 소비세 정책을 발표했습니다.,The government announced a new consumption tax policy.
재판,trial,재판을 받았어요.,I had a trial.,새로운 시도를 했어요.,I made a new trial.,그는 공정한 재판을 받을 권리가 있습니다.,He has the right to a fair trial.
경우,occasion,특별한 경우였어요.,It was a special occasion.,행사에 참여했어요.,I participated in the occasion.,그녀는 특별한 행사를 위해 아름다운 드레스를 입었습니다.,She wore a beautiful dress for the special occasion.
수용력,capacity,수용력이 커요.,The capacity is large.,능력이 뛰어나요.,His capacity is excellent.,그 경기장은 5만 명의 관중을 수용할 수 있습니다.,The stadium has a seating capacity of 50,000.
철,iron,철로 만들었어요.,It's made of iron.,다리미질을 했어요.,I ironed my clothes.,철은 강하고 유용한 금속입니다.,Iron is a strong and useful metal.
물건,stuff,물건을 정리했어요.,I organized my stuff.,할 일이 많아요.,I have a lot of stuff to do.,그녀는 여행 가방에 많은 물건을 넣었습니다.,She packed a lot of stuff into her suitcase.
수입,import,외국에서 수입했어요.,I imported from a foreign country.,수입품이 많아요.,There are many imports.,그 나라는 석유 수입에 크게 의존합니다.,The country heavily relies on oil imports.
모험,venture,새로운 모험을 시작했어요.,I ventured into a new adventure.,위험한 사업이었어요.,It was a risky venture.,그들은 새로운 사업에 대한 공동 투자를 시작했습니다.,They embarked on a joint venture for a new business.
